month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,19115,"philadelphia, pa",,380050,0.0136,0.3103,17,-0.1905,-0.5405,29,-0.5285,-0.0333,8,-0.3333,-0.6667,0,,,8,-0.3333,-0.5,10,1,-0.3333,178.0387529,0.0699,-0.0008,2084,0.0684,0.2116,380659,0.0628,0.1521,27,0.0385,-0.4808,0.5882,0.3501,0.1828
202007,98362,"port angeles, wa",,407550,-0.0611,0.1181,49,0.0208,-0.4368,53.5,-0.1575,0.0918,32,0.3333,0,0,,,4,0,-0.8,51,0.0625,-0.1356,209.3054342,0.0001,0.0741,2001,0.0098,0.0173,489736,0.0082,0.0647,100,0.0417,-0.3151,1.0408,0.0408,0.3627
202007,31605,"valdosta, ga",*,220950,-0.0328,,83,-0.0349,,50.5,-0.1513,,32,-0.2727,-0.3333,0,,-1,4,-0.5,-0.9,103,-0.055,50.5,107.4066293,-0.01,0.0236,1905.5,-0.0327,-0.0063,260439,-0.003,0.048,186,-0.0462,0.1625,1.241,-0.0265,1.2283
202007,76084,"venus, tx",,212950,-0.0141,-0.3652,33,0.1786,0.0645,24.5,-0.4432,-0.4674,24,1,0.5,8,,,0,-1,-1,78,0.1642,2.5455,131.9363064,0.0134,-0.0223,1600,-0.0093,-0.2941,233354,-0.0334,-0.2395,111,0.1684,1.0943,2.3636,-0.0292,1.654
202007,55115,"saint paul, mn",,592300,0.0887,0.1869,24,-0.1111,-0.1724,39.5,-0.1939,-0.1505,16,1,1,0,,,8,-0.3333,-0.3333,15,-0.1667,0.1538,185.9158249,0.0284,0.0347,3041.5,0.0564,0.0945,649814,0.0518,0.1423,39,-0.1333,-0.0714,0.625,-0.0417,0.1767
202007,66208,"prairie village, ks",*,665000,-0.0494,0.209,53,-0.1017,,38.5,-0.172,-0.2667,32,-0.3846,-0.2727,0,,,32,0.1429,-0.5,110,-0.0179,4.5,222.6268136,-0.0298,0.07,2943.5,-0.0273,0.1105,863429,-0.1796,-0.1738,163,-0.0468,0.2443,2.0755,0.1772,1.8953
202007,51551,"malvern, ia",*,255050,0,-0.2043,21,0.1053,4.25,185.5,0.1703,,0,-1,-1,0,,,0,-1,,10,0.4286,4,114.6067416,0,-0.036,2225,0,-0.1698,255364,0.1172,-0.0525,31,0.1923,4.1667,0.4762,0.1078,-0.0238
202007,45459,"dayton, oh",,359950,0.0358,0.2099,48,0.1707,-0.4483,27.5,-0.3452,-0.2361,44,0.8333,-0.2667,0,,,28,-0.3,-0.4167,87,0.2083,-0.1031,113.6761105,-0.021,0.0813,3518,0.2682,0.2407,500883,0.0969,0.3626,135,0.1947,-0.2663,1.8125,0.0564,0.6976
202007,83429,"island park, id",*,447800,0.0006,-0.0314,43,-0.14,,53,-0.2206,-0.0619,12,-0.5,-0.5,0,,,4,-0.5,-0.6667,8,1.6667,7,235.5599245,0.0529,0.1383,2157,0.0425,0.0594,999245,0.3226,0.4363,51,-0.0377,-0.2817,0.186,0.126,0.1718
202007,85379,"surprise, az",*,324000,0.0097,,46,-0.1481,,35.5,-0.2198,,76,0.7273,-0.2083,16,-0.6364,,12,-0.25,-0.8846,196,-0.0577,0.1136,149.2547577,-0.0092,0.1088,2258.5,0.0167,-0.056,334332,0.0176,0.0327,242,-0.0763,-0.2531,4.2609,0.409,3.0717
202007,57104,"sioux falls, sd",,162500,0.0159,0.0249,80,-0.1579,-0.0805,40.5,0.125,0.1739,20,-0.4444,-0.5455,0,,,12,0,-0.25,0,,,115.5149445,0.0215,0.0052,1532,0.071,0.0443,211608,0.0458,0.1326,80,-0.1579,-0.0805,0,0,0
202007,31326,"rincon, ga",,287550,0.0271,0.0956,95,-0.0404,-0.2339,53.5,-0.1575,0.1031,36,-0.25,-0.4,0,,,36,0.5,0.125,67,-0.2299,0.3673,120.5019202,0.0097,0.1081,2290,0.0787,0.0093,321469,0.0208,0.2055,162,-0.129,-0.0636,0.7053,-0.1735,0.3101
202007,95051,"santa clara, ca",,1368550,0.0146,0.0738,58,-0.0645,0.0545,25,-0.3056,-0.2424,52,0,0.3,0,-1,,8,-0.7143,-0.7143,52,0.3,0.6774,815.2415679,-0.025,-0.0614,1539.5,0.0042,0.1095,1349466,0.0173,0.0795,110,0.0784,0.2791,0.8966,0.2514,0.3329
202007,29054,"gilbert, sc",*,212950,-0.1328,,36,0.0286,-0.0769,31,-0.6196,-0.6457,4,-0.6667,-0.5,4,,,0,-1,-1,0,,,136.4238557,-0.0036,-0.0443,1800,-0.0025,-0.2489,360095,-0.0724,-0.1031,36,0.0286,-0.0769,0,0,0
202007,74048,"nowata, ok",,88550,-0.3842,-0.3655,26,1,-0.2121,23,-0.7799,-0.5258,12,2,0.5,0,,,4,,,9,0,0.125,66.93198263,-0.2773,-0.0926,1494,-0.112,-0.2573,137504,-0.3507,-0.4282,35,0.5909,-0.1463,0.3462,-0.3462,0.1037
202007,78043,"laredo, tx",*,152500,-0.0412,,27,-0.325,,78,-0.0429,,4,-0.5,-0.75,0,,,4,,-0.5,0,-1,,103.5714286,0.0512,0.1752,1465,-0.0962,-0.1357,186078,0.0385,0.1616,27,-0.3415,-0.5263,0,-0.025,0
202007,82443,"thermopolis, wy",*,157550,0.0161,-0.068,55,0.0185,,222,-0.0864,0.7209,4,0,-0.5,0,,,4,0,-0.5,1,0,,86.50143678,0.0361,-0.0034,1920,-0.0194,-0.0194,210099,0.0233,0.0203,56,0.0182,-0.0667,0.0182,-0.0003,0.0182
202007,91302,"calabasas, ca",,2595050,-0.0067,0.1307,140,-0.0141,-0.0141,64.5,-0.3175,0.0488,52,0.1818,0.1818,0,,,24,0.2,0,82,0.4138,0.5769,582.7773543,0.0149,0.1628,4937,0.0417,0.1449,4401723,0.0133,0.3373,222,0.11,0.1443,0.5857,0.1773,0.2195
202007,14724,"clymer, ny",*,277000,-0.1582,,33,-0.0294,,165.5,-0.1578,,8,,1,0,,,0,,,5,1.5,0.6667,132.1428571,0.0288,-0.053,2519,-0.0221,-0.0221,308977,-0.1779,-0.2186,38,0.0556,-0.2549,0.1515,0.0927,0.089
202007,85021,"phoenix, az",*,539500,-0.0028,0.233,43,-0.2712,,66.5,0.1368,0.0813,24,-0.1429,-0.25,0,,,24,-0.3333,-0.5,65,-0.0152,0.25,224.6514191,-0.0137,0.0917,2376.5,-0.0163,0.0504,595372,-0.0259,0.095,108,-0.136,-0.2,1.5116,0.393,0.8851
202007,2356,"north easton, ma",*,802500,0.0845,0.2253,22,-0.0833,-0.5769,109.5,0.1289,,12,0,-0.4,0,,,4,-0.5,-0.8,6,0,1,249.9722222,0.0323,0.0585,2905.5,0.0894,-0.0109,769810,0.041,0.1028,28,-0.0667,-0.4909,0.2727,0.0227,0.215
202007,11212,"brooklyn, ny",*,525050,-0.0132,-0.1086,16,-0.1579,-0.1111,161.5,-0.0824,,4,0,-0.5,0,,,0,,,11,0,0.375,0,,-1,0,,-1,605719,-0.0024,-0.1644,27,-0.1,0.0385,0.6875,0.1086,0.2431
202007,80808,"calhan, co",,554550,-0.0168,0.3476,26,0.04,-0.5357,62.5,-0.4318,0.6026,12,2,-0.5,0,,,12,-0.25,-0.5,12,0.2,-0.52,204.192726,0.1215,0.088,3272,-0.0034,0.5106,606333,0.0127,0.2664,38,0.0857,-0.5309,0.4615,0.0615,0.0151
202007,5156,"springfield, vt",*,320000,0.2153,,32,0.1852,,57,-0.696,-0.1679,12,0.5,0,0,,,4,0,-0.5,16,0,1.2857,118.4834123,0.1784,0.1531,2841,0,0.5072,373230,0.0598,0.3954,48,0.1163,-0.2258,0.5,-0.0926,0.3727
